Year,Name,Award,Level,Team,Position,Sport
2012,Kathryn Hardy,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2011,Nicole Sipfle,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Defender,Soccer
2011,Rachel Weinstein,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Soccer
2011,Eden Marek,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2011,Kathryn Vincent,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,Hon. Mention,Forward,Soccer
2010,Becca Carter,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2010,Nicole Sipfle,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,Hon. Mention,Defender,Soccer
2009,Miki Nakamura,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2009,Laura McElroy,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,Hon. Mention,Goal Keeper,Soccer
2008,Becca Mackenzie,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
2008,Miki Nakamura,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2008,Ellie Deal,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2008,Kim Durinick,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Soccer
2007,Becca Mackenzie,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Defender,Soccer
2007,Hannah Sayle,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
2007,Ellie Deal,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2006,Becca Mackenzie,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Defender,Soccer
2006,Liz Carrier,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Goal Keeper,Soccer
2006,Kate Diedrick,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2006,Miki Nakamura,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2006,Kelly Brouse,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2006,Sofia Skraba,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Midfielder,Soccer
2006,Amelia Stoker,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Midfielder,Soccer
2005,Liz Carrier,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Goal Keeper,Soccer
2005,Kate Diedrick,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2005,Kara Moskowitz,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Midfielder,Soccer
2005,Rachel Moskowitz,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Soccer
2005,Julia Bradley-Cook,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2005,Becca Mackenzie,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Defender,Soccer
2004,Sarah Evans,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2004,Rachel Moskowitz,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2004,Dana Price,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2004,Julia Bradley-Cook,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,,Soccer
2004,Liz Carrier,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,,Soccer
2003,Sarah Evans,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2003,Rachel Moskowitz,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2003,Kristin Operzedek,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2003,Megan Pluskis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2003,Dana Price,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2003,Melissa Stevenson,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,,Soccer
2003,Liz Carrier,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,,Soccer
2006,Heather Benning,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Soccer
2022,Kirsten Koester,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Soccer
2024,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-AMERICA,NATIONAL,3rd Team,Third Base,Softball
2018,Darice Wheeler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-AMERICA,NATIONAL,2nd Team,Utility,Softball
2023,Kami Anson,COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-AMERICA®,NATIONAL,3rd Team,Outfield,Softball
2025,Hannah Dykstra,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,3rd Team,Shortstop,Softball
2024,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,1st Team,Third Base,Softball
2024,Taylor Durak,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,2nd Team,Outfield,Softball
2023,Taylor Durak,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,1st Team,Designated Player,Softball
2022,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,2nd Team,Third Base,Softball
2019,Darice Wheeler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,1st Team,Designated Player,Softball
2019,Mya Davis,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,2nd Team,Second Base,Softball
2019,Maddie Matsubara,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,3rd Team,Shortstop,Softball
2018,Darice Wheeler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,1st Team,Utility,Softball
2018,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,2nd Team,Third Base,Softball
2017,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,1st Team,At-Large,Softball
2016,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,1st Team,Third Base,Softball
2015,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) ALL-REGION,REGION,2nd Team,Third Base,Softball
2024,Kambria Anson,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Softball
2024,Samantha Chu,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Softball
2024,Christin Hartman,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Softball
2024,Alexa Okada,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Softball
2024,Kathryn Vermeulen,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Softball
2023,Taylor Durak,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Designated Player,Softball
2023,Alexa Okada,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Infield,Softball
2023,Samantha Chu,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Infield,Softball
2023,Kami Anson,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Outfield,Softball
2023,Kathryn Vermeulen,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,Pitcher,Softball
2011,Amanda Stromquist,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,2nd Team,Designated Player,Softball
2025,Hannah Dykstra,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Shortstop,Softball
2025,Kayla O'Malley,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outfield,Softball
2025,Lane Kohler,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Designated Player,Softball
2025,Sofia DiCarlo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,At-Large,Softball
2024,Taylor Durak,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outfield,Softball
2024,Christin Hartman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Pitcher,Softball
2024,Hannah Dykstra,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Shortstop,Softball
2024,Samantha Chu,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Third Base,Softball
2024,Alexa Okada,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,At-Large,Softball
2024,Kathryn Vermeulen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Pitcher,Softball
2024,Kambria Anson,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,At-Large,Softball
2023,Samantha Chu,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Third Base,Softball
2023,Amanda Ramirez,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Shortstop,Softball
2023,Kami Anson,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outfield,Softball
2023,Christin Hartman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Pitcher,Softball
2023,Taylor Durak,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Designated Player,Softball
2023,Kathryn Vermeulen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Pitcher,Softball
2022,Amanda Ramirez,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Shortstop,Softball
2022,Samantha Chu,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Third Base,Softball
2022,Taylor Durak,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Outfield,Softball
2022,Kami Anson,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,At-Large,Softball
2021,Lizzy Vermeulen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Catcher,Softball
2021,Alexa Okada,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Second Base,Softball
2021,Amanda Ramirez,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Shortstop,Softball
2021,Samantha Chu,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Designated Player,Softball
2019,Maddie Matsubara,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Shortstop,Softball
2019,Darice Wheeler,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Designated Player,Softball
2019,Mya Davis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,At-Large,Softball
2018,Darice Wheeler,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Utility,Softball
2018,Kayla Morrissey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Third Base,Softball
2018,Mya Davis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Designated Player,Softball
2018,Flynn Johnson,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,At-Large,Softball
2018,Leila Bishop-Parise,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,At-Large,Softball
2017,Kayla Morrissey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Third Base,Softball
2017,Mikyla Murphy,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Designated Player,Softball
2017,Lydia Stariha,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Shortstop,Softball
2016,Kayla Morrissey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Third Base,Softball
2016,Sage Juveland,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,At-Large,Softball
2015,Kayla Morrissey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,At-Large,Softball
2012,Amanda Stromquist,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,First Base,Softball
2011,Brianna Gallo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Second Base/Outfield,Softball
2011,Amanda Stromquist,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Pitcher/Outfield,Softball
2010,Brianna Gallo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Infield,Softball
2010,Kelsey Montgomery,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Infield,Softball
2009,Brianna Gallo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Infield,Softball
2009,Amanda Stromquist,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Infield,Softball
2009,Kelsey Montgomery,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Infield,Softball
2008,Darcy Ward,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outfield,Softball
2008,Emily Stewart,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Pitcher,Softball
2007,Emily Stewart,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Pitcher/Shortstop,Softball
2007,Darcy Ward,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outfield,Softball
2007,Tess Cohen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Pitcher/First Base,Softball
2006,Lee Anne Steinberg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Pitcher/Third Base,Softball
2006,Darcy Ward,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Outfield,Softball
2006,Gabriella Flores,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Pitcher,Softball
2006,Emily Kolbe,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Pitcher/Third Base,Softball
2005,Emily Kolbe,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Third Base/Pitcher,Softball
2005,Emily Stewart,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Shortstop/Pitcher,Softball
2005,Annie Beaman,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Catcher,Softball
2005,Lee Anne Steinberg,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Pitcher,Softball
2005,Karyn Wieland,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Outfield,Softball
2003,Kate Reynolds,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Pitcher/First Base,Softball
2003,Dinah Zebot,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Pitcher/Third Base,Softball
2025,Kala Bisterfeldt,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Sofia DiCarlo,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Hannah Dykstra,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Asiana Gostyla,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Lane Kohler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Bella Nesbeth,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Kayla O'Malley,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Nicolette Parrott,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Elyse Pender,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Elise Strohm,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2025,Ella Young,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Kambria Anson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Sofia DiCarlo,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Emma DiGiacomo-Zahller,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Taylor Durak,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Christin Hartman,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Kyra Killion,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Lane Kohler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Alexa Okada,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Elyse Pender,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Lizzy Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Kathryn Veremeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Kami Anson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Sofia DiCarlo,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Emma DiGiacomo Zahller,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Lane Kohler,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Emma Nelson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Alexa Okada,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Lizzy Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Kathryn Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2022,Mary Webb,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Kami Anson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Leila Bishop-Parise,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Samantha Chu,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Emma DiGiacomo-Zahller,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Taylor Durak,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Kaylie Eiden,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Christin Hartman,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Flynn Johnson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Kyra Killion,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Emma Nelson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Alexa Okada,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Kathryn Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2021,Lizzy Vermeulen,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2019,Elle Adams,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2019,Kaylie Eiden,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2019,Emily Jordan,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2019,Maddie Matsubara,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2019,Lily Seibert,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Melissa Anderson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Kaylie Eiden,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Hayley Hoffman,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Emily Jordan,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Mikyla Murphy,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Maggie Remus,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2018,Abby Thomson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2017,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2017,Megan Gibson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2017,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2017,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2017,Emily Jordan,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2017,Lily Seibert,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2016,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2016,Megan Gibson,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2016,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2016,Maggie Remus,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2016,Kayla Morrissey,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2015,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2015,Andi Leff,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2015,Maggie Remus,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2014,Lydia Stariha,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2013,Aniela Wendt,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2013,Jennifer Fulton,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2013,Robin Campbell,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2012,Amanda Stromquist,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2012,Jayme Wiebold,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2012,Aniela Wendt,NATIONAL FASTPITCH COACHES ASSOCIATION (NFCA) SCHOLAR-ATHLETES,NATIONAL,,,Softball
2024,Taylor Durak,PLAYER OF THE YEAR,MIDWEST CONFERENCE,,,Softball
